Status,Pinging to,Time
ok,google.com,19:40:23
ok,google.com,19:40:28
ok,google.com,19:40:33
ok,google.com,19:40:38
ok,google.com,19:40:43
ok,google.com,19:40:48
ok,google.com,19:40:53
ok,google.com,19:40:58
ok,google.com,19:41:03
ok,google.com,19:41:08
ok,google.com,19:41:13
ok,google.com,19:41:18
ok,google.com,19:41:23
ok,google.com,19:41:28
ok,google.com,19:41:33
ok,google.com,19:41:38
ok,google.com,19:41:43
ok,google.com,19:41:48
ok,google.com,19:41:54
ok,google.com,19:41:59
ok,google.com,19:42:04
ok,google.com,19:42:09
ok,google.com,19:42:14
ok,google.com,19:42:19
ok,google.com,19:42:24
ok,google.com,19:42:29
ok,google.com,19:42:34
ok,google.com,19:42:39
ok,google.com,19:42:44
ok,google.com,19:42:49
ok,google.com,19:42:54
ok,google.com,19:42:59
ok,google.com,19:43:04
ok,google.com,19:43:09
ok,google.com,19:43:14
ok,google.com,19:43:19
ok,google.com,19:43:24
ok,google.com,19:43:29
ok,google.com,19:43:34
ok,google.com,19:43:39
ok,google.com,19:43:44
ok,google.com,19:43:49
ok,google.com,19:43:54
ok,google.com,19:43:59
ok,google.com,19:44:04
ok,google.com,19:44:09
ok,google.com,19:44:14
ok,google.com,19:44:19
ok,google.com,19:44:24
ok,google.com,19:44:29
ok,google.com,19:44:34
ok,google.com,19:44:39
ok,google.com,19:44:44
ok,google.com,19:44:49
ok,google.com,19:44:54
ok,google.com,19:44:59
ok,google.com,19:45:04
ok,google.com,19:45:09
ok,google.com,19:45:14
ok,google.com,19:45:19
ok,google.com,19:45:24
ok,google.com,19:45:29
ok,google.com,19:45:34
ok,google.com,19:45:39
ok,google.com,19:45:44
ok,google.com,19:45:49
ok,google.com,19:45:54
ok,google.com,19:45:59
ok,google.com,19:46:04
ok,google.com,19:46:09
ok,google.com,19:46:14
ok,google.com,19:46:19
ok,google.com,19:46:24
ok,google.com,19:46:29
ok,google.com,19:46:34
ok,google.com,19:46:39
ok,google.com,19:46:44
ok,google.com,19:46:49
ok,google.com,19:46:54
ok,google.com,19:46:59
ok,google.com,19:47:04
ok,google.com,19:47:09
ok,google.com,19:47:14
ok,google.com,19:47:19
ok,google.com,19:47:24
ok,google.com,19:47:29
ok,google.com,19:47:34
ok,google.com,19:47:39
ok,google.com,19:47:45
ok,google.com,19:47:50
ok,google.com,19:47:55
ok,google.com,19:48:00
ok,google.com,19:48:05
ok,google.com,19:48:10
ok,google.com,19:48:15
ok,google.com,19:48:20
ok,google.com,19:48:25
ok,google.com,19:48:30
ok,google.com,19:48:35
ok,google.com,19:48:40
ok,google.com,19:48:45
ok,google.com,19:48:50
ok,google.com,19:48:55
ok,google.com,19:49:00
ok,google.com,19:49:05
ok,google.com,19:49:10
ok,google.com,19:49:15
ok,google.com,19:49:20
ok,google.com,19:49:25
ok,google.com,19:49:30
ok,google.com,19:49:35
ok,google.com,19:49:40
ok,google.com,19:49:45
ok,google.com,19:49:50
ok,google.com,19:49:55
ok,google.com,19:50:00
ok,google.com,19:50:05
ok,google.com,19:50:10
ok,google.com,19:50:15
ok,google.com,19:50:20
ok,google.com,19:50:25
ok,google.com,19:50:30
ok,google.com,19:50:35
ok,google.com,19:50:40
ok,google.com,19:50:45
ok,google.com,19:50:50
